,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
ACCL.TA,"[0.001, 0.051, 0.1151]","[0.001, 0.051, 0.1151]","[0.8103, 0.8604, 0.9245]","[0.0009, 0.0509, 0.115]","[0.0015, 0.0515, 0.1156]","[-0.0015, -0.0515, -0.1156]","[0.0035, -0.0466, -0.1107]","[0.0418, -0.0082, -0.0723]","[0.0011, 0.0512, 0.1153]","[0.0033, 0.0533, 0.1175]","[0.0011, 0.0511, 0.1152]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[1.0, 0.9908, 0.9099]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.3608, 0.3515, 0.2707]","[0.9353, 0.926, 0.8451]","[0.1232, 0.1139, 0.033]","[-1.0, -1.0, -1.0]","[0.9561, 0.9468, 0.8659]","[0.9969, 0.9877, 0.9068]","[0.9972, 0.9879, 0.907]","[0.3303, 0.3395, 0.4204]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.3634, 0.3444, 0.5222]","[0.7399, 0.7209, 0.8987]","[None, None, None]","[0.5482, 0.5292, 0.707]","[0.5876, 0.5686, 0.7464]","[-1.0, -1.0, -1.0]","[0.2818, 0.3008, 0.123]","[0.2188, 0.1998, 0.3776]","[0.9729, 0.9539, 0.8683]","[0.9945, 0.9755, 0.8467]","[0.9554, 0.9745, 0.7967]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.9297, 0.9562, 0.9034]","[-0.4098, -0.5239, -0.3835]","[None, None, None]","[-0.5138, -0.6279, -0.4875]","[-0.3903, -0.5045, -0.364]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9499, 0.936, 0.9236]","[0.9167, 0.9692, 0.8904]","[0.9916, 0.8774, 0.9822]","[None, None, None]","[-0.6365, -0.7507, -0.6103]","[None, None, None]","[None, None, None]"
ALAR.TA,"[0.9571, 0.9687, 0.4094]","[-0.1429, -0.1544, 0.4049]","[-0.1304, -0.142, 0.4173]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7902, 0.7787, 0.6621]","[0.768, 0.7796, 0.2203]","[0.2128, 0.2012, 0.7605]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.2362, 0.2942, 0.2754]","[-0.3012, -0.2432, -0.2621]","[-0.2093, -0.1513, -0.1701]","[0.1155, 0.1734, 0.1546]","[-0.8825, -0.8246, -0.8434]","[None, None, None]","[0.9901, 0.9322, 0.951]","[0.0637, 0.0057, 0.0245]","[0.97, 0.9721, 0.9909]","[0.8151, 0.7571, 0.776]","[0.964, 0.9781, 0.9969]","[0.802, 0.8599, 0.8411]","[None, None, None]","[0.9859, 0.928, 0.9468]","[None, None, None]"
ALLT.TA,"[0.9023, 0.9555, 0.8102]","[0.5962, 0.454, 0.3087]","[0.5818, 0.4396, 0.2943]","[0.6038, 0.746, 0.8913]","[0.5892, 0.447, 0.3017]","[0.3909, 0.2487, 0.1034]","[0.8582, 0.9996, 0.8543]","[0.0667, 0.2089, 0.3542]","[0.8878, 0.9699, 0.8247]","[0.6972, 0.5549, 0.4097]","[0.639, 0.7812, 0.9265]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9886, 0.8464, 0.7011]"
ALMA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMD.TA,"[0.1342, 0.0584, -0.0006]","[0.9991, 0.9234, 0.8644]","[None, None, None]","[0.1695, 0.0937, 0.0348]","[0.6418, 0.566, 0.5071]","[-0.7357, -0.8115, -0.8704]","[0.5473, 0.4715, 0.4126]","[-1.0, -1.0, -1.0]","[0.9262, 0.9981, 0.9391]","[0.5925, 0.6683, 0.7272]","[1.0, 0.9242, 0.8653]","[0.4084, 0.4841, 0.5431]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[-1.0, -1.0, -1.0]","[0.1694, 0.0853, 0.0933]","[-0.4595, -0.5435, -0.5356]","[-1.0, -1.0, -1.0]","[0.6591, 0.5751, 0.583]","[-0.8318, -0.9159, -0.9079]","[0.2942, 0.3783, 0.3704]","[-1.0, -1.0, -1.0]","[0.9621, 0.9539, 0.9618]","[-1.0, -1.0, -1.0]","[0.9826, 0.8986, 0.9065]","[-1.0, -1.0, -1.0]","[1.0, 0.9159, 0.9239]","[0.8277, 0.9118, 0.9038]","[None, None, None]"
AMOT.TA,"[-0.2115, -0.2588, -0.2099]","[0.6089, 0.5616, 0.6105]","[0.5, 0.4527, 0.5016]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9887, 0.964, 0.987]","[None, None, None]","[0.9998, 0.9524, 0.9986]","[None, None, None]","[-1.0, -1.0, -0.9984]","[None, None, None]","[0.9996, 0.9531, 0.998]"
ASGR.TA,"[0.2985, 0.2842, 0.2843]","[0.8144, 0.8287, 0.8286]","[None, None, None]","[0.429, 0.4147, 0.4148]","[None, None, None]","[-0.3067, -0.321, -0.3209]","[0.1573, 0.1717, 0.1715]","[-1.0, -1.0, -1.0]","[0.9985, 0.9842, 0.9844]","[0.9937, 0.9793, 0.9795]","[0.9903, 0.9954, 0.9955]","[0.9897, 0.9959, 0.9961]","[None, None, None]","[None, None, None]","[None, None, None]"
AURA.TA,"[0.5796, 0.5676, 0.8158]","[0.4441, 0.432, 0.6803]","[None, None, None]","[0.4999, 0.4879, 0.7361]","[0.5857, 0.5737, 0.8219]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8818, 0.8698, 0.882]","[None, None, None]","[0.8382, 0.8262, 0.9256]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVGD.TA,"[0.4788, 0.5915, 0.3716]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.7986, 0.9113, 0.6913]","[1.0, 0.8873, 0.8927]","[None, None, None]","[0.8034, 0.9161, 0.6961]","[-1.0, -1.0, -0.9177]","[0.5666, 0.4539, 0.6738]","[0.8732, 0.7606, 0.9805]","[0.9842, 0.8715, 0.9085]","[0.5729, 0.6856, 0.4656]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[-0.8372, -0.8966, -0.7691]","[0.4422, 0.5016, 0.3741]","[0.4387, 0.4981, 0.3706]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.8383, 0.7789, 0.9064]","[0.9635, 0.9041, 0.9684]","[0.9742, 0.9147, 0.9578]","[0.9742, 0.9148, 0.9577]","[0.8119, 0.7525, 0.88]","[None, None, None]","[None, None, None]","[1.0, 0.9406, 0.9319]"
BCOM.TA,"[0.5084, 0.5216, 0.7153]","[0.9476, 0.9344, 0.7406]","[0.4091, 0.4223, 0.616]","[None, None, None]","[0.7893, 0.8025, 0.9962]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9956, 0.9824, 0.7886]","[0.9225, 0.9093, 0.7156]","[0.8412, 0.828, 0.6342]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BSEN.TA,"[0.9673, 0.9128, 0.9644]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8605, 0.806, 0.9288]","[0.7596, 0.7051, 0.8279]","[None, None, None]","[0.0343, 0.0888, -0.0341]","[0.5529, 0.6074, 0.4846]","[0.9713, 0.9168, 0.9604]","[0.3302, 0.3847, 0.2619]","[0.9548, 0.9003, 0.9769]","[0.9139, 0.9684, 0.8456]","[None, None, None]","[0.6562, 0.7107, 0.5879]","[None, None, None]"
BKRY.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9281, 0.9056]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
BONS.TA,"[None, None, None]","[None, None, None]","[0.8333, 0.7936, 0.8583]","[None, None, None]","[None, None, None]","[0.0015, -0.0382, 0.0265]","[0.0009, -0.0388, 0.0259]","[0.0011, 0.0408, -0.0239]","[0.001, 0.0407, -0.024]","[0.001, 0.0407, -0.024]","[0.0007, 0.0404, -0.0243]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[1.0, 0.8881, 0.7973]","[1.0, 0.8881, 0.7973]","[None, None, None]","[None, None, None]","[-0.2284, -0.3404, -0.4312]","[None, None, None]","[-0.0618, 0.0501, 0.1409]","[-1.0, -1.0, -1.0]","[0.8298, 0.9418, 0.9675]","[0.8142, 0.9262, 0.9831]","[0.9796, 0.8677, 0.7769]","[0.8628, 0.7509, 0.6601]","[None, None, None]","[0.8736, 0.7617, 0.6709]","[None, None, None]"
BLGO.TA,"[None, None, None]","[1.0, 0.9364, 0.9512]","[1.0, 0.9364, 0.9512]","[None, None, None]","[None, None, None]","[1.0, 0.9364, 0.9512]","[1.0, 0.9364, 0.9512]","[1.0, 0.9364, 0.9512]","[1.0, 0.9364, 0.9512]","[1.0, 0.9364, 0.9512]","[1.0, 0.9364, 0.9512]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CISY.TA,"[1.0, 0.9525, 0.9016]","[1.0, 0.9525, 0.9016]","[1.0, 0.9525, 0.9016]","[1.0, 0.9525, 0.9016]","[1.0, 0.9525, 0.9016]","[None, None, None]","[1.0, 0.9525, 0.9016]","[1.0, 0.9525, 0.9016]","[1.0, 0.9525, 0.9016]","[-1.0, -1.0, -1.0]","[1.0, 0.9525, 0.9016]","[None, None, None]","[1.0, 0.9525, 0.9016]","[None, None, None]","[None, None, None]"
CANF.TA,"[0.5, 0.3403, 0.3298]","[0.5825, 0.7421, 0.7526]","[None, None, None]","[None, None, None]","[0.5852, 0.7449, 0.7554]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8311, 0.9908, 0.9987]","[0.346, 0.5057, 0.5162]","[0.7616, 0.9212, 0.9317]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9936, 0.8339, 0.8234]"
CRML.TA,"[0.9105, 0.9302, 0.9577]","[-0.1732, -0.1929, -0.3051]","[None, None, None]","[0.8712, 0.8908, 0.997]","[-0.624, -0.6436, -0.7558]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8787, 0.859, 0.7468]","[-0.7597, -0.7794, -0.8915]","[0.9663, 0.9467, 0.8345]","[0.115, 0.1347, 0.2469]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
CAST.TA,"[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.4298, 0.3774, 0.4744]","[-0.2634, -0.3159, -0.2188]","[None, None, None]","[0.5521, 0.6046, 0.5075]","[-0.043, 0.0095, -0.0876]","[0.9954, 0.9429, 0.96]","[0.9981, 0.9495, 0.9535]","[0.9767, 0.9242, 0.9787]","[0.9806, 0.9281, 0.9748]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[1.0, 0.8624, 0.9838]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9306, 0.7931, 0.9468]","[0.9419, 0.8044, 0.9581]","[0.9305, 0.932, 0.9143]","[0.8482, 0.9857, 0.832]","[None, None, None]","[None, None, None]","[None, None, None]"
CDEV.TA,"[0.4042, 0.3058, 0.5363]","[0.393, 0.4914, 0.261]","[0.3933, 0.4916, 0.2612]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.5555, 0.4571, 0.6875]","[0.7987, 0.7003, 0.9308]","[0.2105, 0.3089, 0.0784]","[0.7715, 0.6731, 0.9036]","[None, None, None]","[1.0, 0.9016, 0.8679]","[None, None, None]","[None, None, None]"
DANE.TA,"[0.0956, 0.1335, 0.029]","[-0.0036, -0.0415, 0.063]","[0.2937, 0.2558, 0.3603]","[0.0977, 0.1356, 0.0311]","[0.0149, 0.0528, -0.0517]","[None, None, None]","[0.8457, 0.8836, 0.7791]","[0.0134, -0.0245, 0.08]","[0.0304, 0.0683, -0.0362]","[0.0424, 0.0802, -0.0243]","[-1.0, -1.0, -1.0]","[0.9498, 0.9877, 0.8832]","[0.892, 0.9299, 0.8254]","[0.2671, 0.305, 0.2005]","[None, None, None]"
DSCT.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[0.6683, 0.6096, 0.6645]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DISI.TA,"[None, None, None]","[-0.1685, -0.2098, -0.1902]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0025, -0.0389, -0.0192]","[None, None, None]","[0.1187, 0.0774, 0.097]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DUNI.TA,"[1.0, 0.9288, 0.9652]","[1.0, 0.9288, 0.9652]","[-1.0, -1.0, -1.0]","[-0.2854, -0.3565, -0.2506]","[0.9074, 0.9785, 0.8726]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9288, 0.9652]","[1.0, 0.9288, 0.9652]","[1.0, 0.9288, 0.9652]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECNR.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.8444, 0.9051, 0.8818]","[0.9207, 0.86, 0.6469]","[1.0, 0.9393, 0.7262]","[0.9816, 0.9578, 0.7446]","[0.9575, 0.9818, 0.7687]","[0.9854, 0.9248, 0.7116]","[0.9705, 0.9098, 0.6967]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.0011, 0.1721, 0.1607]","[0.0009, 0.1718, 0.1605]","[None, None, None]","[None, None, None]","[0.001, 0.1719, 0.1605]","[None, None, None]","[0.0039, -0.1671, -0.1557]","[-0.0005, -0.1714, -0.1601]","[0.001, 0.172, 0.1606]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.9672, 0.9492, 0.9668]","[0.9728, 0.9908, 0.9731]","[0.9714, 0.9895, 0.9718]","[0.9866, 0.9954, 0.9869]","[0.9557, 0.9377, 0.9553]","[None, None, None]","[0.5325, 0.5506, 0.5329]","[0.7536, 0.7355, 0.7532]","[0.9942, 0.9761, 0.9938]","[0.4206, 0.4386, 0.4209]","[0.9827, 0.9647, 0.9823]","[0.9065, 0.8885, 0.9062]","[None, None, None]","[0.8803, 0.8623, 0.8799]","[0.9935, 0.9754, 0.9931]"
ECP.TA,"[0.3964, 0.2162, 0.2909]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.6172, 0.7975, 0.7228]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.6596, 0.8399, 0.7651]","[0.8454, 0.9743, 0.951]","[0.9909, 0.8288, 0.9036]","[0.9971, 0.8226, 0.8973]","[0.9354, 0.8843, 0.9591]","[None, None, None]","[1.0, 0.8197, 0.8945]","[None, None, None]","[None, None, None]"
